#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
charn;Charnian;Charnian;Charnian;;Charnian;;;;;;;;;x
lion;Lion;Lion;Lion;;Lion;;;;;;;;;x
star;Star;Star;Star;;Star;;;;;;;;;x
other;Other;Other;Other;;Other;;;;;;;;;x
calormen;Calormen;Calormen;Calormen;;Calormen;;;;;;;;;x
men_of_the_south;Southmen;Southmen;Southmen;;Southmen;;;;;;;;;x
telmarine;Telmarine;Telmarine;Telmarine;;Telmarine;;;;;;;;;x
archen;Archenlander;Archenlander;Archenlander;;Archenlander;;;;;;;;;x
narnian;Narnian;Narnian;Narnian;;Narnian;;;;;;;;;x
centaur;Centaurian;Centaurian;Centaurian;;Centaurian;;;;;;;;;x
minotaur;Minotaurian;Minotaurian;Minotaurian;;Minotaurian;;;;;;;;;x
faun;Faun;Faun;Faun;;Faun;;;;;;;;;x
dryad;Dryad;Dryad;Dryad;;Dryad;;;;;;;;;x
ettins;Ettins;Ettins;Ettins;;Ettins;;;;;;;;;x
northern_giant;Northern Giants;Northern Giants;Northern Giants;;Northern Giants;;;;;;;;;x
harfang_giant;Harfang Giant;Harfang Giant;Harfang Giants;;Harfang Giants;;;;;;;;;x
lone_islander;Lone Islander;Lone Islander;Lone Islander;;Lone Islander;;;;;;;;;x
red_dwarf;Red Dwarf;Red Dwarf;Red Dwarf;;Red Dwarf;;;;;;;;;x
black_dwarf;Black Dwarf;Black Dwarf;Black Dwarf;;Black Dwarf;;;;;;;;;x
koramarine;Koramarine;Koramarine;Koramarine;;Koramarine;;;;;;;;;x
teldesteira;Teldesteira;Teldesteira;Teldesteira;;Teldesteira;;;;;;;;;x
seven_islander;Seven Islander;Seven Islander;Seven Islander;;Seven Islander;;;;;;;;;x
outer_islander;Outer Islander;Outer Islander;Outer Islander;;Outer Islander;;;;;;;;;x
muzhchinzmei;Muzhchinzmei;Muzhchinzmei;Muzhchinzmei;;Muzhchinzmei;;;;;;;;;x
uyirian_merku;Uyirimerku;Uyirimerku;Uyirimerku;;Uyirimerku;;;;;;;;;x
uyirian;Uyirian;Uyirian;Uyirian;;Uyirian;;;;;;;;;x
narniyan_tamisl;Narniyan Tamisl;Narniyan Tamisl;Narniyan Tamisl;;Narniyan Tamisl;;;;;;;;;x
vyric;Vyric;;;;;;;;;;;;;x
kathsmen;Kathsmen;;;;;;;;;;;;;x
chionmen;Chionmen;;;;;;;;;;;;;x
culture_ienorian;Ienorian;;;;;;;;;;;;;x
culture_group_numenorean;Númenórean;;;;;;;;;;;;;x
culture_arandorian;Arandorian;;;;;;;;;;;;;x
alzuashonaru;Alzuashonaru;;;;;;;;;;;;;x
culture_group_nihonaru;Nihonaru;;;;;;;;;;;;;x
nishonaru;Nishonaru;;;;;;;;;;;;;x
valii;Valii;;;;;;;;;;;;;;x
mellounian;Mellounian;;;;;;;;;;;;;;x
telvasrian;Telvasrian;;;;;;;;;;;;;;x
callendeen;Callendeen;;;;;;;;;;;;;;x
sulvarian;Sulvarian;;;;;;;;;;;;;;x
axolenta;Axolenta;;;;;;;;;;;;;;x
axol;Axol;;;;;;;;;;;;;;x
nar_russian;Narnian Russian;;;;;;;;;;;;;;x
nedic;Nedic;;;;;;;;;;;;;;x
nord;Nord;;;;;;;;;;;;;;x
maori;Maori;;;;;;;;;;;;;;x
tangatawhetu;Tangatawhetu;;;;;;;;;;;;;;x
kingiongaiwi;Kingiongaiwi;;;;;;;;;;;;;;x
northern_peoples;Northern Peoples;;;;;;;;;;;;;;x
terebinthian;Terebinthian;;;;;;;;;;;;;;x
narnian_giant;Narnian Giant;;;;;;;;;;;;;;x
gryphon;Gryphon;;;;;;;;;;;;;;x
jelvar;Jelvar;;;;;;;;;;;;;;x
elexol;Elexol;;;;;;;;;;;;;;x
weosterman;Weosterman;;;;;;;;;;;;;;x
esliterman;Esliterman;;;;;;;;;;;;;;x
pelligdian;Pelligdian;;;;;;;;;;;;;;x
veriosian;Veriosian;;;;;;;;;;;;;;x
vindi;Vindi;;;;;;;;;;;;;;x
quende;Quende;;;;;;;;;;;;;;x
reinor;Reinor;;;;;;;;;;;;;;x
pelliven;Pelliven;;;;;;;;;;;;;;x
cerek;Cerek;;;;;;;;;;;;;;x
cerek_group;Cerek;;;;;;;;;;;;;;x
polypontian;Polypontian;;;;;;;;;;;;;;x
reinor_group;Reinor;;;;;;;;;;;;;;x
westorosii_group;Westorosii;;;;;;;;;;;;;;x
neorndman;Neorndman;;;;;;;;;;;;;;x
tirdhman;Tirdhman;;;;;;;;;;;;;;x
imparan;Imparan;;;;;;;;;;;;;;x
dylistine;Dylistine;;;;;;;;;;;;;;x
riphan;Riphan;;;;;;;;;;;;;;x
shannen;Shannen;;;;;;;;;;;;;;x
acoloan;Acoloan;;;;;;;;;;;;;;x

human_race;Human;;;;;;;;;;;;;;x
human_race_desc;This character is fully human;;;;;;;;;;;;;;x
