#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

BLITZKRIEG;Blitzkrieg;;;;;;;;;;;;;x
GREAT_TASHLAN;Great Tashlan;;;;;;;;;;;;;x
ASLAN_GOD;Aslan;Aslan;Aslan;;Aslan;;;;;;;;;x
GREAT_LION:The Great Lion;the Great Lion;the Great Lion;;the Great Lion;;;;;;;;;x
GOD_TASH;Tash;Tash;Tash;;Tash;;;;;;;;;x
WHITE_WITCH;The White Witch;The White Witch;The White Witch;;The White Witch;;;;;;;;;x
GOD_HORNED_ONE;Horned One;;;;;;;;;;;;;x
GOD_DANA;Dana;;;;;;;;;;;;;x
GOD_CERNNUNOS;Cernnunos;;;;;;;;;;;;;x
MEIN_KAMPF;Mein Kampf;;;;;;;;;;;;;x
GOD_HITLER;Hitler;;;;;;;;;;;;;x
GOD_THE_FURER;The Furer;;;;;;;;;;;;;x
THE_OLD_LAW;The Old Law;;;;;;;;;;;;;x
aslan;Aslan;Aslan;Aslan;;Aslan;;;;;;;;;x
white_witch;The White Witch;The White Witch;The White Witch;;The White Witch;;;;;;;;;x
tash;Tash;Tash;Tash;;Tash;;;;;;;;;x
western_calormen_cults;Kolar-Tash;Kolar-Tash;Kolar-Tash;;Kolar-Tash;;;;;;;;;x
southern_calormen_cults;Calavar-Tash;Calavar-Tash;Calavar-Tash;;Calavar-Tash;;;;;;;;;x
aryan;Aryan;Aryan;Aryan;;Aryan;;;;;;;;;x
tashlan;Tashlan;;;;;;;;;;;;;x
tellan;Tellan;;;;;;;;;;;;;x
teloani;Telonai;;;;;;;;;;;;;x
tellan_DESC;Tellan is a hybrid religion of the §MAslan§! and §MTash§! worship of the orginal Calormen Settlers and the Spanish Catholic of the old pirates. it places Aslan as the Son of God and Tash as the Punisher of Evil;;;;;;;;;;;;;x
aslan_DESC;The Aslan Faith is based around the worship of Aslan ,The Great Lion and Son of the "Emperor across the Sea". Aslan himself has often assisted his followers through out time, abet infrequently.;;;;;;;;;;;;;x
tash_DESC;The Worship of the Being known as Tash orginated in the deserts of calormen and lead to the founding of the Calormen Empire. Tash himself is a multi-armed vulture-headed "demon" giving outsiders pause in worshiping him.;;;;;;;;;;;;;x
tashlan_DESC;Tashlan is a herasy orginating around the notion that Aslan and Tash are one in the same. this herasy has remained mostly inactive but could flare up under the right circumstances ;;;;;;;;;;;;;x
western_calormen_cults_DESC;The Kolar-Tash religion are a group of small deities worshiped by the Calormen of the Kolarius Mountains, this group of deities include Tash;;;;;;;;;;;;;x
southern_calormen_cults_DESC;The Calavar-Tash Religion is a small Pantheon of minor deities worshiped by the Calormen of the Calavar Deserts;;;;;;;;;;;;;x
aryan_DESC;The Aryan Faith is based on the teachings of the prophet Adolf Hitler in the holy Test of Mein Kampf. this authoritarian religion started from various lost SS regiments that found their way into Narnia and have conquered swathes of land in the name of the Fuhrer;;;;;;;;;;;;;x
white_witch_DESC;Worshipers of Jadis;;;;;;;;;;;;;x
teloani_DESC;A Heritic Sect of §MTallan§!, Teloani aspouses that Aslan is not divine at all and that tash is in fact a demon.;;;;;;;;;;;;;x
caitliceann;Caitliceann;;;;;;;;;;;;;x
caitliceann_DESC;Caitliceann is the faith of the old world, highly close to the §MTelloni§! herasy, this religion proclaims that there is only one god and that all others are just illusions , demons or herasy;;;;;;;;;;;;;x
celtic;Celtic;;;;;;;;;;;;;x
celtic_DESC;A revived faith based on ancient tales of a isle far away and long ago, and the gods that inhabited that isle before another religon took over. Celtic is a collection of old tales and fairy stories that turned out to be true within Narnia;;;;;;;;;;;;;x

lunos;Lunos;;;;;;;;;;;;;x
lunos_DESC;A religious Cult based on the Isles of Twilight and exstended with the influence of the Kingdom of Luna;;;;;;;;;;;;;x
pamyatrossii;Pamyatrossii;;;;;;;;;;;;;x
pamyatrossii_DESC;A conglomeration of faiths, Pamyatrossii centers around veneration of the distant homeland and the ideas of the old world. it was founded by the Preacher Rassivich the elder, who taught a series of practises to follow.;;;;;;;;;;;;;x
pamyatrossii_group;Pamyatrossii;;;;;;;;;;;;;x

denlos;Denols;;;;;;;;;;;;;x
denlos_DESC;WIP;;;;;;;;;;;;;x
lavurite;Lavurite;;;;;;;;;;;;;x
lavurite_DESC;WIP;;;;;;;;;;;;;x
jeunvir;Jeunvir;;;;;;;;;;;;;x
jeunvir_DESC;WIP;;;;;;;;;;;;;x
dragon_worship_group;Dragon Worship;;;;;;;;;;;;;x
dragon_worship;Dragon Worship;;;;;;;;;;;;;x
dragon_worship_DESC;WIP;;;;;;;;;;;;;x

mellounian_group;Mellounian;;;;;;;;;;;;;x
mellounian_law;Mellounian Law;;;;;;;;;;;;;x
mellounian_law_DESC;WIP;;;;;;;;;;;;;x
savra;Savra;;;;;;;;;;;;;x
savra_DESC;WIP;;;;;;;;;;;;;x
kelvrain;Kelvrain;;;;;;;;;;;;;x
kelvrain_DESC;WIP;;;;;;;;;;;;;x

tarane;Tarane;;;;;;;;;;;;;x
tarutarin;Tarutarin;;;;;;;;;;;;;x
tarutarin_DESC;WIP;;;;;;;;;;;;;x
eline;Eline;;;;;;;;;;;;;x
eline_DESC;WIP;;;;;;;;;;;;;x

eloia;Eloia;;;;;;;;;;;;;x
eloia_DESC;WIP;;;;;;;;;;;;;x

shinoi;Shinoi;;;;;;;;;;;;;x
shinoi_DESC;WIP;;;;;;;;;;;;;x

purakau_ao_kohatu;Purakau ao Kohatu;;;;;;;;;;;;;x
purakau_ao_kohatu_DESC;WIP;;;;;;;;;;;;;x

quallis;Quallis;;;;;;;;;;;;;x
quallis_DESC;WIP;;;;;;;;;;;;;x

eru;Eru;;;;;;;;;;;;;x
eru_DESC;WIP;;;;;;;;;;;;;x
orthadoxical;Orthadoxical;;;;;;;;;;;;;x
orthadoxical_DESC;WIP;;;;;;;;;;;;;x
divine_cult;Cult of the Divines;;;;;;;;;;;;;x
divine_cult_DESC;WIP;;;;;;;;;;;;;x

tash_group;Tash;;;;;;;;;;;;;x
aryan_group;Aryan;;;;;;;;;;;;;x
celtic_group;Celtic;;;;;;;;;;;;;x
