#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ca_cair_paravel;Cair Paravel in Throne;Cair Paravel in Throne;Cair Paravel in Throne;;Cair Paravel in Throne;;;;;;;;;x
cair_paravel_desc;The Great Palace of the High Kings and Queens of Narnia, bustles with productive activity of troops and courtiers;The Great Palace of the High Kings and Queens of Narnia, bustles with productive activity of troops and courtiers;The Great Palace of the High Kings and Queens of Narnia, bustles with productive activity of troops and courtiers;;The Great Palace of the High Kings and Queens of Narnia, bustles with productive activity of troops and courtiers;;;;;;;;;x
ca_anvard_palace;Royal Palace of Archenland;Royal Palace of Archenland;Royal Palace of Archenland;;Royal Palace of Archenland;;;;;;;;;x
anvard_palace_desc;The Royal Palace of Archenland;The Royal Palace of Archenland;The Royal Palace of Archenland;;The Royal Palace of Archenland;;;;;;;;;x
ca_tisroc_palace;The Imperial Palace of the Tisroc;The Imperial Palace of the Tisroc;The Imperial Palace of the Tisroc;;The Imperial Palace of the Tisroc;;;;;;;;;x
tisroc_palace_desc;The Residence of the Emperors of the Calormen Empire, From here the Tisroc rules with a iron fist;The Residence of the Emperors of the Calormen Empire, From here the Tisroc rules with a iron fist;The Residence of the Emperors of the Calormen Empire, From here the Tisroc rules with a iron fist;;The Residence of the Emperors of the Calormen Empire, From here the Tisroc rules with a iron fist;;;;;;;;;x
ca_castle_harfang;Castle Harfang;Castle Harfang;Castle Harfang;;Castle Harfang;;;;;;;;;x
castle_harfang_desc;The Giant halls of the Harfang Crown;The Giant halls of the Harfang Crown;The Giant halls of the Harfang Crown;;The Giant halls of the Harfang Crown;;;;;;;;;x
ca_castle_caspian;Castle Caspian;Castle Caspian;Castle Caspian;;Castle Caspian;;;;;;;;;x
castle_caspian_desc;The Grand Castle that was built by Caspain IV to show the might of the Telmar dynasty;The Grand Castle that was built by Caspain IV to show the might of the Telmar dynasty;The Grand Castle that was built by Caspain IV to show the might of the Telmar dynasty ;;The Grand Castle that was built by Caspain IV to show the might of the Telmar dynasty;;;;;;;;;x
ca_terebinthia_city;City of Terebinthia;;;;;;;;;;;;;x
ca_terebinthia_desc;The grand city of Terebinthia, this city has stood as the capital of Terebinthia for many years, and as such has been developed;;;;;;;;;;;;;x
ca_terebinthia_city2;City of Terebinthia;;;;;;;;;;;;;x
ca_terebinthia2_desc;The grand city of Terebinthia, this city has stood as the capital of Terebinthia for over a millennia, and as such is highly developed;;;;;;;;;;;;;x

ca_castle_telmar;Grand Castle of Telmar;;;;;;;;;;;;;x
castle_telmar_desc;The Seat of the king of Telmar's power;;;;;;;;;;;;;x
ca_telmarine_pike_barracks_1;Telmarine Pike Barracks;;;;;;;;;;;;;x
ca_telmarine_pike_barracks_desc;Telmarine Pike Barracks;;;;;;;;;;;;;x
ca_telmarine_pike_barracks_2;Telmarine Pike Barracks;;;;;;;;;;;;;x
ca_telmarine_pike_barracks_2_desc;Telmarine Pike Barracks;;;;;;;;;;;;
ca_centuarian_fort_1;Centuarian Hill Fort;;;;;;;;;;;;;x
centuarian_fort_1_desc;Centuarian Hill Fort;;;;;;;;;;;;;x
ca_centuarian_fort_2;Centuarian Fort;;;;;;;;;;;;;x
centuarian_fort_2_desc;Centuarian Fort;;;;;;;;;;;;;x
ca_centuarian_armory_1;Centuarian Armory;;;;;;;;;;;;;x
centuarian_armory_1_desc;Centuarian Armory;;;;;;;;;;;;;x
ca_witches_mansion;White Witch's Mansion;;;;;;;;;;;;;x
ca_witches_mansion_desc;The Grand Residence of the White Witch, this Mansion includes everything a great Monarch needs, including a lovely statue garden;;;;;;;;;;;;;x
