#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
PROV1;Sea of Ice;Sea of Ice;Sea of Ice;;Sea of Ice;;;;;;;;;x
PROV2;Gulf of Azemon;Gulf of Azemon;Gulf of Azemon;;Gulf of Azemon;;;;;;;;;x
PROV3;Gulf of Calormen;Gulf of Calormen;Gulf of Calormen;;Gulf of Calormen;;;;;;;;;x
PROV4;Southern Gulf;Southern Gulf;Southern Gulf;;Southern Gulf;;;;;;;;;x
PROV5;Shanan Bay;Shanan Bay;Shanan Bay;;Shanan Bay;;;;;;;;;x
PROV6;North Starry Sea;North Starry Sea;North Starry Sea;;North Starry Sea;;;;;;;;;x
PROV7;South Starry Sea;South Starry Sea;South Starry Sea;;South Starry Sea;;;;;;;;;x
PROV8;Northwest Starry Sea;Northwest Starry Sea;Northwest Starry Sea;;Northwest Starry Sea;;;;;;;;;x
PROV9;Southwest Starry Sea;Southwest Starry Sea;Southwest Starry Sea;;Southwest Starry Sea;;;;;;;;;x
PROV10;Northeast Starry Sea;Northeast Starry Sea;Northeast Starry Sea;;Northeast Starry Sea;;;;;;;;;x
PROV11;Southeast Starry Sea;Southeast Starry Sea;Southeast Starry Sea;;Southeast Starry Sea;;;;;;;;;x
PROV12;Argu Bay;Argu Bay;Argu Bay;;Argu Bay;;;;;;;;;x
PROV13;Great West Sea;Great West Sea;Great West Sea;;Great West Sea;;;;;;;;;x
PROV14;Great West Sea;Great West Sea;Great West Sea;;Great West Sea;;;;;;;;;x
PROV15;Great West Sea;Great West Sea;Great West Sea;;Great West Sea;;;;;;;;;x
PROV16;Great West Sea;Great West Sea;Great West Sea;;Great West Sea;;;;;;;;;x
PROV17;Great West Sea;Great West Sea;Great West Sea;;Great West Sea;;;;;;;;;x
PROV18;Great West Sea;Great West Sea;Great West Sea;;Great West Sea;;;;;;;;;x
PROV19;Great West Sea;Great West Sea;Great West Sea;;Great West Sea;;;;;;;;;x
PROV20;Isles of Twilight;Isles of Twilight;Isles of Twilight;;Isles of Twilight;;;;;;;;;x
PROV21;Great West Sea;Great West Sea;Great West Sea;;Great West Sea;;;;;;;;;x
PROV22;Great West Sea;Great West Sea;Great West Sea;;Great West Sea;;;;;;;;;x
PROV23;Gulf of the Moon;Gulf of the Moon;Gulf of the Moon;;Gulf of the Moon;;;;;;;;;x
PROV24;Great West Sea;Great West Sea;Great West Sea;;Great West Sea;;;;;;;;;x
PROV25;Great West Sea;Great West Sea;Great West Sea;;Great West Sea;;;;;;;;;x
PROV26;Great West Sea;Great West Sea;Great West Sea;;Great West Sea;;;;;;;;;x
PROV27;Gulf of Telmar;Gulf of Telmar;Gulf of Telmar;;Gulf of Telmar;;;;;;;;;x
PROV28;Great West Sea;Great West Sea;Great West Sea;;Great West Sea;;;;;;;;;x
PROV29;Great West Sea;Great West Sea;Great West Sea;;Great West Sea;;;;;;;;;x
PROV30;Great West Sea;Great West Sea;Great West Sea;;Great West Sea;;;;;;;;;x
PROV31;Great West Sea;Great West Sea;Great West Sea;;Great West Sea;;;;;;;;;x
PROV32;Great West Sea;Great West Sea;Great West Sea;;Great West Sea;;;;;;;;;x
PROV33;Bitter Lake;Bitter Lake;Bitter Lake;;Bitter Lake;;;;;;;;;x
PROV34;Heron Lake;Heron Lake;Heron Lake;;Heron Lake;;;;;;;;;x
PROV35;Heart Lake;Heart Lake;Heart Lake;;Heart Lake;;;;;;;;;x
PROV36;Great West Sea;Great West Sea;Great West Sea;;Great West Sea;;;;;;;;;x
PROV37;Great West Sea;Great West Sea;Great West Sea;;Great West Sea;;;;;;;;;x
PROV38;Great West Sea;Great West Sea;Great West Sea;;Great West Sea;;;;;;;;;x
PROV39;Bay of Bears;Bay of Bears;Bay of Bears;;Bay of Bears;;;;;;;;;x
PROV40;Frostbite Bay;Frostbite Bay;Frostbite Bay;;Frostbite Bay;;;;;;;;;x
PROV41;Gull Islands;Gull Islands;Gull Islands;;Gull Islands;;;;;;;;;x
PROV42;Frozen Sea;Frozen Sea;Frozen Sea;;Frozen Sea;;;;;;;;;x
PROV43;Frozen Sea;Frozen Sea;Frozen Sea;;Frozen Sea;;;;;;;;;x
PROV44;Frozen Sea;Frozen Sea;Frozen Sea;;Frozen Sea;;;;;;;;;x
PROV45;Frozen Sea;Frozen Sea;Frozen Sea;;Frozen Sea;;;;;;;;;x
PROV46;Frozen Sea;Frozen Sea;Frozen Sea;;Frozen Sea;;;;;;;;;x
PROV47;Frozen Sea;Frozen Sea;Frozen Sea;;Frozen Sea;;;;;;;;;x
PROV48;Frozen Sea;Frozen Sea;Frozen Sea;;Frozen Sea;;;;;;;;;x
PROV49;Frozen Sea;Frozen Sea;Frozen Sea;;Frozen Sea;;;;;;;;;x
PROV50;Harfang Cove;Harfang Cove;Harfang Cove;;Harfang Cove;;;;;;;;;x
PROV51;Ettinsea;Ettinsea;Ettinsea;;Ettinsea;;;;;;;;;x
PROV52;The Seven Isles;The Seven Isles;The Seven Isles;;The Seven Isles;;;;;;;;;x
PROV53;Sea of Giants;Sea of Giants;Sea of Giants;;Sea of Giants;;;;;;;;;x
PROV54;Galma Island;Galma Island;Galma Island;;Galma Island;;;;;;;;;x
PROV55;Paravel Bay;Paravel Bay;Paravel Bay;;Paravel Bay;;;;;;;;;x
PROV56;Glasswater;Glasswater;Glasswater;;Glasswater;;;;;;;;;x
PROV57;Archenbight;Archenbight;Archenbight;;Archenbight;;;;;;;;;x
PROV58;Terebinthia Island;Terebinthia Island;Terebinthia Island;;Terebinthia Island;;;;;;;;;x
PROV59;Archenbay;Archenbay;Archenbay;;Archenbay;;;;;;;;;x
PROV60;Bight of Calormen;Bight of Calormen;Bight of Calormen;;Bight of Calormen;;;;;;;;;x
PROV61;Bluffs of Calormen;Bluffs of Calormen;Bluffs of Calormen;;Bluffs of Calormen;;;;;;;;;x
PROV62;The Lone Island;The Lone Island;The Lone Island;;The Lone Island;;;;;;;;;x
