#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
charn;Charnian;Charnian;Charnian;;Charnian;;;;;;;;;x
lion;Lion;Lion;Lion;;Lion;;;;;;;;;x
star;Star;Star;Star;;Star;;;;;;;;;x
other;Other;Other;Other;;Other;;;;;;;;;x
calormen;Calormen;Calormen;Calormen;;Calormen;;;;;;;;;x
men_of_the_south;Southmen;Southmen;Southmen;;Southmen;;;;;;;;;x
telmarine;Telmarine;Telmarine;Telmarine;;Telmarine;;;;;;;;;x
archen;Archenlander;Archenlander;Archenlander;;Archenlander;;;;;;;;;x
narnian;Narnian;Narnian;Narnian;;Narnian;;;;;;;;;x
centaur;Centaurian;Centaurian;Centaurian;;Centaurian;;;;;;;;;x
minotaur;Minotaurian;Minotaurian;Minotaurian;;Minotaurian;;;;;;;;;x
faun;Faun;Faun;Faun;;Faun;;;;;;;;;x
ettins;Ettins;Ettins;Ettins;;Ettins;;;;;;;;;x
northern_giant;Northern Giants;Northern Giants;Northern Giants;;Northern Giants;;;;;;;;;x
harfang_giant;Harfang Giant;Harfang Giant;Harfang Giants;;Harfang Giants;;;;;;;;;x
lone_islander;Lone Islander;Lone Islander;Lone Islander;;Lone Islander;;;;;;;;;x
red_dwarf;Red Dwarf;Red Dwarf;Red Dwarf;;Red Dwarf;;;;;;;;;x
black_dwarf;Black Dwarf;Black Dwarf;Black Dwarf;;Black Dwarf;;;;;;;;;x
koramarine;Koramarine;Koramarine;Koramarine;;Koramarine;;;;;;;;;x
teldesteira;Teldesteira;Teldesteira;Teldesteira;;Teldesteira;;;;;;;;;x
seven_islander;Seven Islander;Seven Islander;Seven Islander;;Seven Islander;;;;;;;;;x
outer_islander;Outer Islander;Outer Islander;Outer Islander;;Outer Islander;;;;;;;;;x



