#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESCwinter_reb1;As the Great Battle Rages on, Aslan Apears out of the mist, and roaring leaps upon you;As the Great Battle Rages on, Aslan Apears out of the mist, and roaring leaps upon you;As the Great Battle Rages on, Aslan Apears out of the mist, and roaring leaps upon you;;As the Great Battle Rages on, Aslan Apears out of the mist, and roaring leaps upon you;;;;;;;;;x
EVTOPTAwinter_reb.1;Lets finish This!;Lets finish This!;Lets finish This!;;Lets finish This!;;;;;;;;;x
EVTTITLEwinter_reb2;The Duel Concludes, Aslan won.;The Duel Concludes, Aslan won.;The Duel Concludes, Aslan won.;;The Duel Concludes, Aslan won.;;;;;;;;;x
EVTDESCwinter_reb2;It is Over, The Forces of Aslan and Peter have trimuped over the forces of the witch.;It is Over, The Forces of Aslan and Peter have trimuped over the forces of the witch.;It is Over, The Forces of Aslan and Peter have trimuped over the forces of the witch.;;It is Over, The Forces of Aslan and Peter have trimuped over the forces of the witch.;;;;;;;;;x
EVTOPTAwinter_reb.2;how long will the reign of the sons of adam last?;how long will the reign of the sons of adam last?;how long will the reign of the sons of adam last?;;how long will the reign of the sons of adam last?;;;;;;;;;x
EVTOPTBwinter_reb.2;Praise Aslan!;Praise Aslan!;Praise Aslan!;;Praise Aslan!;;;;;;;;;x
EVTDESC_winter_reb3;It is Over, The White Witch has triumpted and winter returns in full force;It is Over, The White Witch has triumpted and winter returns in full force;It is Over, The White Witch has triumpted and winter returns in full force;;It is Over, The White Witch has triumpted and winter returns in full force;;;;;;;;;x
EVTTITLE_winter_reb3;The Duel Concludes, Jadis won.;The Duel Concludes, Jadis won.;The Duel Concludes, Jadis won.;;The Duel Concludes, Jadis won.;;;;;;;;;x
EVTOPTAwinter_reb.3;The last hope for Narnia has fallen;The Last hope for Narnia has Fallen;The Last hope for Narnia has Fallen;;The Last hope for Narnia has Fallen;;;;;;;;;x
scrouge_of_telmar;Scrouge of Telmar;;;;;;;;;;;;;x
SCROUGE_OF_TELMAR_INFO;The Scrouge of Telmar laid upon the heritics and heathens of Telmar;;;;;;;;;;;;;x
EVTTITLE_winter_reb50;[Root.GetTitledFirstName] asks for your aid;;;;;;;;;;;;;x
EVTDESCwinter_reb50;[Root.GetTitledFirstName] is fighting a great war aganst the White Queen for the fate of narnia and now calls for your aid, how do you respond?;;;;;;;;;;;;;x
EVTOPTBwinter_reb.50;No i won't risk it;;;;;;;;;;;;;x
EVTOPTAwinter_reb.50;Of course, Bannermen Raise the Banners, For Aslan!;;;;;;;;;;;;;x
EVTDESC_winter_reb51;[Prev.GetTitledFirstName] agrees to join your rightfull war;;;;;;;;;;;;;x
EVTOPTAwinter_reb.51;Great!;;;;;;;;;;;;;x
EVTDESC_winter_reb104;O Glorius Tisroc, true Kin of mine, How if I show you a way by which you can strech out your arm to take Narnia and yet draw it back unharmed if the attempt prove unfortunate?....;;;;;;;;;;;;;x
EVTOPTAwinter_reb.104;Go and do as you have said, but expect no help from me;;;;;;;;;;;;;x
EVTOPTBwinter_reb.104;I have a even better plan, you go and do as you have said, and I will follow with a grand host to renforce you in Anvard;;;;;;;;;;;;;x
EVTOPTCwinter_reb.104;No! that would be unjust and unhonorable and i will have no part in this;;;;;;;;;;;;;x
