#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
nick_the_white_witch;the White Witch;the White Witch;the White Witch;;the White Witch;;;;;;;;;x
nick_the_valiant;the Valiant;the Valiant;the Valiant;;the Valiant;;;;;;;;;x
nick_the_beautiful;the Beautiful;the Beautiful;the Beautiful;;the Beautiful;;;;;;;;;x
nick_wolfsbane;Wolfsbane;Wolfsbane;Wolfsbane;;Wolfsbane;;;;;;;;;x

d_cair_paravel;Cair Paravel;Cair Paravel;Cair Paravel;;Cair Paravel;;;;;;;;;x
d_anvard;Anvard;Anvard;Anvard;;Anvard;;;;;;;;;x
d_rushwood;Rushwood;Rushwood;Rushwood;;Rushwood;;;;;;;;;x
d_galma;Galma;Galma;Galma;;Galma;;;;;;;;;x
d_the_marsh;The Marshlands;The Marshlands;The Marshlands;;The Marshlands;;;;;;;;;x
d_stormness;Stormness;Stormness;Stormness;;Stormness;;;;;;;;;x
d_gelfria;Gelfria;Gelfria;Gelfria;;Gelfria;;;;;;;;;x
d_cair_oriel;Cair Oriel;Cair Oriel;Cair Oriel;;Cair Oriel;;;;;;;;;x
d_archenbay;Archen Bay;Archen Bay;Archen Bay;;Archen Bay;;;;;;;;;x
d_oreadia;Oreadia;Oreadia;Oreadia;;Oreadia;;;;;;;;;x
d_lyredale;Lyredale;Lyredale;Lyredale;;Lyredale;;;;;;;;;x
d_beruna;Beruna;Beruna;Beruna;;Beruna;;;;;;;;;x
d_ettinsgard;Ettinsgard;Ettinsgard;Ettinsgard;;Ettinsgard;;;;;;;;;x
d_aslans_how;Aslans How;Aslans How;Aslans How;;Aslans How;;;;;;;;;x
d_faunwald;Faunwald;Faunwald;Faunwald;;Faunwald;;;;;;;;;x
d_western_wood;Western Woods;Western Woods;Western Woods;;Western Woods;;;;;;;;;x
d_dancing_lawn;Dancing Lawn;Dancing Lawn;Dancing Lawn;;Dancing Lawn;;;;;;;;;x
d_dellourea;Dellourea;Dellourea;Dellourea;;Dellourea;;;;;;;;;x
d_eponadium;Eponadium;Eponadium;Eponadium;;Eponadium;;;;;;;;;x
d_pania;Pania;Pania;Pania;;Pania;;;;;;;;;x
d_sagittaria;Sagittaria;Sagittaria;Sagittaria;;Sagittaria;;;;;;;;;x
d_gryphon_vale;Gryphon Vale;Gryphon Vale;Gryphon Vale;;Gryphon Vale;;;;;;;;;x
d_limnadeon;Limnadeon;Limnadeon;Limnadeon;;Limnadeon;;;;;;;;;x
d_ramandus_island;Ramandu's Island;Ramandu's Island;Ramandu's Island;;Ramandu's Island;;;;;;;;;x
d_lantern_wastes;Lantern Wastes;Lantern Wastes;Lantern Wastes;;Lantern Wastes;;;;;;;;;x
d_lyredale;Lyredale;Lyredale;Lyredale;;Lyredale;;;;;;;;;x
d_lyredale;Lyredale;Lyredale;Lyredale;;Lyredale;;;;;;;;;x
d_ettinsmoor;Ettinsmoor;Ettinsmoor;Ettinsmoor;;Ettinsmoor;;;;;;;;;x
d_east_ettinsmoor;East Ettinsmoor;East Ettinsmoor;East Ettinsmoor;;East Ettinsmoor;;;;;;;;;x
d_lone_islands;Lone Islands;Lone Islands;Lone Islands;;Lone Islands;;;;;;;;;x
d_terebinthia;Terebinthia;Terebinthia;Terebinthia;;Terebinthia;;;;;;;;;x
d_azimbalda;Azimbalda;Azimbalda;Azimbalda;;Azimbalda;;;;;;;;;x
d_ogreia;Ogreia;Ogreia;Ogreia;;Ogreia;;;;;;;;;x
d_goblinton;Goblinton;Goblinton;Goblinton;;Goblinton;;;;;;;;;x
d_north_ettins;North Ettins;North Ettins;North Ettins;;North Ettins;;;;;;;;;x
d_cyclops_hills;Cyclops Hills;Cyclops Hills;Cyclops Hills;;Cyclops Hills;;;;;;;;;x
d_emimoor;Emimoor;Emimoor;Emimoor;;Emimoor;;;;;;;;;x
d_labyrinthia;Labyrinthia;Labyrinthia;Labyrinthia;;Labyrinthia;;;;;;;;;x
d_minotauria;Minotauria;Minotauria;Minotauria;;Minotauria;;;;;;;;;x
d_narnian_dwarven_states;Narnian Dwaven States;Narnian Dwaven States;Narnian Dwaven States;;Narnian Dwaven States;;;;;;;;;x
d_northedge;Northedge;Northedge;Northedge;;Northedge;;;;;;;;;x
d_deepdelve;Deepdelve;Deepdelve;Deepdelve;;Deepdelve;;;;;;;;;x
d_willoughby;Willoughby;Willoughby;Willoughby;;Willoughby;;;;;;;;;x
d_spur_of_calore;Spur Of Calore;Spur Of Calore;Spur Of Calore;;Spur Of Calore;;;;;;;;;x
d_tashbaan;Tashbaan;Tashbaan;Tashbaan;;Tashbaan;;;;;;;;;x
d_xerex;Xerex;Xerex;Xerex;;Xerex;;;;;;;;;x
d_lower_kollash;Lower Kollash;Lower Kollash;Lower Kollash;;Lower Kollash;;;;;;;;;x
d_upper_kollash;Upper Kollash;Upper Kollash;Upper Kollash;;Upper Kollash;;;;;;;;;x
d_mezealisa;Mezealisa;Mezealisa;Mezealisa;;Mezealisa;;;;;;;;;x
d_tahvelia;Tahvelia;Tahvelia;Tahvelia;;Tahvelia;;;;;;;;;x
d_dasash;Dasash;Dasash;Dasash;;Dasash;;;;;;;;;x
d_veliustash;Veliustash;Veliustash;Veliustash;;Veliustash;;;;;;;;;x
d_sudcalvar;Sudcalvar;Sudcalvar;Sudcalvar;;Sudcalvar;;;;;;;;;x
d_selousbaan;Selousbaan;Selousbaan;Selousbaan;;Selousbaan;;;;;;;;;x
d_koraly;Koraly;Koraly;Koraly;;Koraly;;;;;;;;;x
d_zalindreh;Zalindreh;Zalindreh;Zalindreh;;Zalindreh;;;;;;;;;x
d_arched_bays;Arched Bays;Arched Bays;Arched Bays;;Arched Bays;;;;;;;;;x
d_south_archen;South Archen;South Archen;South Archen;;South Archen;;;;;;;;;x
d_ankiun;Ankiun;Ankiun;Ankiun;;Ankiun;;;;;;;;;x
d_tehishbaan;Tehishbaan;Tehishbaan;Tehishbaan;;Tehishbaan;;;;;;;;;x
d_desert_road;Desert Road;Desert Road;Desert Road;;Desert Road;;;;;;;;;x
d_harfang;Harfang;Harfang;Harfang;;Harfang;;;;;;;;;x
d_giants_way;Giants Way;Giants Way;Giants Way;;Giants Way;;;;;;;;;x
d_lower_snakeford;Lower Snakeford;Lower Snakeford;Lower Snakeford;;Lower Snakeford;;;;;;;;;x
d_upper_snakeford;Upper Snakeford;Upper Snakeford;Upper Snakeford;;Upper Snakeford;;;;;;;;;x
d_cruelwoods;Cruelwoods;Cruelwoods;Cruelwoods;;Cruelwoods;;;;;;;;;x
d_witchcastle;Witchcastle;Witchcastle;Witchcastle;;Witchcastle;;;;;;;;;x
d_new_charn;New Charn;New Charn;New Charn;;New Charn;;;;;;;;;x
